k_num,time_us
0,31
2,32
4,28
6,27
8,26
10,26
12,25
14,25
16,24
18,24
20,24
22,23
24,24
26,23
28,23
30,23
32,23
34,22
36,22
38,23
40,23
42,23
44,23
46,23
48,22
50,23
52,23
54,22
56,22
58,23
60,24
62,23
64,23
66,22
68,22
70,22
72,23
74,23
76,22
78,22
80,21
82,22
84,22
86,22
88,22
90,21
92,22
94,21
96,21
98,22
100,21
102,22
104,21
106,21
108,21
110,21
112,21
114,21
116,21
118,21
120,21
122,23
124,21
126,21
128,22
130,22
132,22
134,21
136,21
138,21
140,21
142,22
144,22
146,21
148,21
150,22
152,22
154,22
156,22
158,22
160,22
162,22
164,22
166,22
168,22
170,22
172,22
174,22
176,22
178,22
180,22
182,23
184,22
186,22
188,22
190,22
192,22
194,22
196,22
198,22
200,22
202,23
204,22
206,22
208,22
210,23
212,26
214,23
216,22
218,23
220,22
222,22
224,22
226,22
228,22
230,23
232,22
234,23
236,22
238,23
240,23
242,23
244,23
246,24
248,22
250,22
252,23
254,22
256,22
258,23
260,23
262,23
264,23
266,23
268,23
270,23
272,23
274,23
276,23
278,23
280,23
282,23
284,23
286,24
288,23
290,23
292,23
294,23
296,23
298,24
300,23
302,23
304,24
306,24
308,24
310,23
312,23
314,24
316,24
318,23
320,23
322,23
324,24
326,23
328,24
330,24
332,26
334,71
336,30
338,32
340,24
342,23
344,24
346,25
348,24
350,25
352,25
354,25
356,26
358,24
360,24
362,24
364,24
366,24
368,25
370,24
372,25
374,25
376,24
378,25
380,24
382,25
384,24
386,26
388,25
390,25
392,25
394,24
396,25
398,25
400,25
402,25
404,25
406,25
408,25
410,26
412,25
414,25
416,25
418,25
420,25
422,26
424,25
426,26
428,26
430,26
432,25
434,26
436,26
438,26
440,25
442,26
444,29
446,29
448,25
450,25
452,26
454,26
456,27
458,26
460,27
462,28
464,26
466,27
468,26
470,26
472,27
474,27
476,27
478,27
480,27
482,27
484,27
486,27
488,32
490,35
492,28
494,27
496,26
498,26
500,27
502,26
504,26
506,35
508,28
510,26
512,27
514,27
516,26
518,27
520,26
522,27
524,26
526,27
528,27
530,27
532,26
534,27
536,27
538,26
540,27
542,28
544,52
546,30
548,28
550,29
552,28
554,27
556,28
558,30
560,29
562,34
564,30
566,29
568,33
570,34
572,31
574,32
576,36
578,29
580,31
582,40
584,29
586,29
588,30
590,30
592,31
594,33
596,29
598,28
