algorithm,parameter,time_us
Insertion_sort,100,0
Insertion_sort,200,0
Insertion_sort,300,0
Insertion_sort,400,0
Insertion_sort,500,1
Insertion_sort,600,0
Insertion_sort,700,0
Insertion_sort,800,1
Insertion_sort,900,1
Insertion_sort,1000,1
Insertion_sort,1100,1
Insertion_sort,1200,0
Insertion_sort,1300,1
Insertion_sort,1400,1
Insertion_sort,1500,1
Insertion_sort,1600,1
Insertion_sort,1700,2
Insertion_sort,1800,1
Insertion_sort,1900,1
Insertion_sort,2000,1
Insertion_sort,2100,2
Insertion_sort,2200,2
Insertion_sort,2300,2
Insertion_sort,2400,1
Insertion_sort,2500,1
Insertion_sort,2600,2
Insertion_sort,2700,2
Insertion_sort,2800,2
Insertion_sort,2900,2
Insertion_sort,3000,2
Insertion_sort,3100,2
Insertion_sort,3200,2
Insertion_sort,3300,2
Insertion_sort,3400,2
Insertion_sort,3500,2
Insertion_sort,3600,2
Insertion_sort,3700,3
Insertion_sort,3800,2
Insertion_sort,3900,2
Insertion_sort,4000,3
Insertion_sort,4100,2
Insertion_sort,4200,3
Insertion_sort,4300,3
Insertion_sort,4400,2
Insertion_sort,4500,2
Insertion_sort,4600,3
Insertion_sort,4700,3
Insertion_sort,4800,3
Insertion_sort,4900,3
Insertion_sort,5000,3
Insertion_sort,5100,3
Insertion_sort,5200,3
Insertion_sort,5300,3
Insertion_sort,5400,3
Insertion_sort,5500,3
Insertion_sort,5600,3
Insertion_sort,5700,4
Insertion_sort,5800,4
Insertion_sort,5900,4
Insertion_sort,6000,4
Insertion_sort,6100,4
Insertion_sort,6200,4
Insertion_sort,6300,5
Insertion_sort,6400,5
Insertion_sort,6500,4
Insertion_sort,6600,4
Insertion_sort,6700,4
Insertion_sort,6800,4
Insertion_sort,6900,4
Insertion_sort,7000,4
Insertion_sort,7100,4
Insertion_sort,7200,4
Insertion_sort,7300,5
Insertion_sort,7400,5
Insertion_sort,7500,4
Insertion_sort,7600,4
Insertion_sort,7700,5
Insertion_sort,7800,5
Insertion_sort,7900,7
Insertion_sort,8000,5
Insertion_sort,8100,5
Insertion_sort,8200,5
Insertion_sort,8300,5
Insertion_sort,8400,5
Insertion_sort,8500,5
Insertion_sort,8600,5
Insertion_sort,8700,5
Insertion_sort,8800,5
Insertion_sort,8900,6
Insertion_sort,9000,6
Insertion_sort,9100,6
Insertion_sort,9200,6
Insertion_sort,9300,6
Insertion_sort,9400,5
Insertion_sort,9500,7
Insertion_sort,9600,6
Insertion_sort,9700,6
Insertion_sort,9800,5
Insertion_sort,9900,6
Insertion_sort,10000,6
Merge_sort,100,22
Merge_sort,200,23
Merge_sort,300,38
Merge_sort,400,70
Merge_sort,500,124
Merge_sort,600,108
Merge_sort,700,114
Merge_sort,800,390
Merge_sort,900,467
Merge_sort,1000,683
Merge_sort,1100,776
Merge_sort,1200,1203
Merge_sort,1300,1052
Merge_sort,1400,918
Merge_sort,1500,1016
Merge_sort,1600,887
Merge_sort,1700,825
Merge_sort,1800,703
Merge_sort,1900,643
Merge_sort,2000,484
Merge_sort,2100,464
Merge_sort,2200,453
Merge_sort,2300,419
Merge_sort,2400,507
Merge_sort,2500,528
Merge_sort,2600,483
Merge_sort,2700,504
Merge_sort,2800,474
Merge_sort,2900,599
Merge_sort,3000,570
Merge_sort,3100,589
Merge_sort,3200,572
Merge_sort,3300,785
Merge_sort,3400,682
Merge_sort,3500,700
Merge_sort,3600,815
Merge_sort,3700,838
Merge_sort,3800,863
Merge_sort,3900,860
Merge_sort,4000,973
Merge_sort,4100,1112
Merge_sort,4200,1073
Merge_sort,4300,1050
Merge_sort,4400,1495
Merge_sort,4500,1317
Merge_sort,4600,1306
Merge_sort,4700,1487
Merge_sort,4800,1536
Merge_sort,4900,1617
Merge_sort,5000,1988
Merge_sort,5100,1764
Merge_sort,5200,2174
Merge_sort,5300,1948
Merge_sort,5400,2402
Merge_sort,5500,2472
Merge_sort,5600,2303
Merge_sort,5700,2194
Merge_sort,5800,2224
Merge_sort,5900,2372
Merge_sort,6000,2415
Merge_sort,6100,2449
Merge_sort,6200,2592
Merge_sort,6300,2743
Merge_sort,6400,2928
Merge_sort,6500,2995
Merge_sort,6600,3802
Merge_sort,6700,3476
Merge_sort,6800,3558
Merge_sort,6900,3506
Merge_sort,7000,3609
Merge_sort,7100,3430
Merge_sort,7200,3845
Merge_sort,7300,3975
Merge_sort,7400,3981
Merge_sort,7500,3955
Merge_sort,7600,4202
Merge_sort,7700,4051
Merge_sort,7800,4544
Merge_sort,7900,4418
Merge_sort,8000,4699
Merge_sort,8100,5174
Merge_sort,8200,5390
Merge_sort,8300,5161
Merge_sort,8400,5066
Merge_sort,8500,5343
Merge_sort,8600,6013
Merge_sort,8700,5629
Merge_sort,8800,5930
Merge_sort,8900,6267
Merge_sort,9000,6321
Merge_sort,9100,6108
Merge_sort,9200,6783
Merge_sort,9300,6772
Merge_sort,9400,6894
Merge_sort,9500,6795
Merge_sort,9600,7498
Merge_sort,9700,7199
Merge_sort,9800,7291
Merge_sort,9900,7299
Merge_sort,10000,7139
